Epoch,Training Loss,Validation Loss
212,4.246714524924755e-06,6.426950221793959e-06
213,4.355147211754229e-06,6.0314669099170715e-06
214,4.153360350755975e-06,5.825460902997293e-06
215,4.024476766062435e-06,5.731515102525009e-06
216,3.923657004634151e-06,5.8932191677740775e-06
217,3.856779585476033e-06,5.730805241910275e-06
218,3.767204134419444e-06,5.639393293677131e-06
219,3.7469726521521807e-06,5.7648044275993016e-06
220,3.82021698897006e-06,5.756151495006634e-06
221,3.846182607958326e-06,5.6505932661821134e-06
222,3.7362674447649624e-06,5.704302566300612e-06
223,3.834044491668465e-06,5.643149506795453e-06
224,3.952481620217441e-06,6.321256023511523e-06
225,4.000204171461519e-06,6.4335326896980405e-06
226,4.105874722881708e-06,5.832443093822803e-06
227,4.0436152630718425e-06,5.549982688535238e-06
228,3.854883743770188e-06,5.677276931237429e-06
229,3.7673762562917545e-06,5.906949809286743e-06
230,3.8032194424886256e-06,5.502192834683228e-06
231,3.816635398834478e-06,5.449177024274832e-06
232,3.765791916521266e-06,5.938195499766152e-06
233,3.785760100072366e-06,5.46264209333458e-06
234,3.644134267233312e-06,5.369668997445842e-06
235,3.550926976458868e-06,5.447588591778185e-06
236,3.5660020785144297e-06,5.3994153859093785e-06
237,3.4986678656423464e-06,5.419797616923461e-06
238,3.568172587620211e-06,5.374397915147711e-06
239,3.5493758332449943e-06,5.433361366158351e-06
240,3.5610253235063283e-06,5.524269909074064e-06
241,3.5631753689813195e-06,5.371148290578276e-06
242,3.4883378248196095e-06,5.393245373852551e-06
243,3.601243179218727e-06,5.2149143812130205e-06
244,3.5861762626154814e-06,5.60667967874906e-06
245,3.726389650182682e-06,5.775208592240233e-06
246,3.6922315302945208e-06,5.622907337965444e-06
247,3.7569054711639183e-06,5.5778641581127886e-06
248,3.6333708521851804e-06,5.61302522328333e-06
249,3.736429334821878e-06,5.752407560066786e-06
250,3.7293816603778396e-06,5.53592781216139e-06
251,3.6102151170780417e-06,5.42482439414016e-06
252,3.500759021335398e-06,5.304388650984038e-06
253,3.4277218219358474e-06,5.275033345242264e-06
254,3.439737383814645e-06,5.273890565149486e-06
255,3.47170180248213e-06,5.342375061445637e-06
256,3.6122248729952844e-06,5.313827386999037e-06
257,3.529401965352008e-06,5.243813575361855e-06
258,3.4812251215043943e-06,5.2384457376319915e-06
259,3.4269025945832254e-06,5.193280685489299e-06
260,3.452769306022674e-06,5.222522759140702e-06
261,3.428703394092736e-06,5.137715106684482e-06
262,3.420768962314469e-06,5.053135282651056e-06
263,3.379074769327417e-06,5.271756435831776e-06
264,3.552640464477008e-06,5.105273430672241e-06
265,3.420421762712067e-06,5.1869451453967486e-06
266,3.3631390579103027e-06,5.063388016424142e-06
267,3.443351943133166e-06,5.078804861113895e-06
268,3.378531573616783e-06,5.205848538025748e-06
269,3.3549797535670223e-06,4.986350177205168e-06
270,3.4349770885455655e-06,5.290497028909158e-06
271,3.2877037483558524e-06,5.012066139897797e-06
272,3.3591581996006425e-06,5.014654107071692e-06
273,3.5326459055795567e-06,5.05668231198797e-06
274,3.399107981749694e-06,5.278287972032558e-06
275,3.4219112876598956e-06,5.2116420192760415e-06
276,3.5400994420342613e-06,5.273427177598933e-06
277,3.348466634633951e-06,4.959907528245822e-06
278,3.2938376079982845e-06,5.1017204896197654e-06
279,3.3722794796631206e-06,4.9385353122488596e-06
280,3.3940737012017053e-06,4.87303714180598e-06
281,3.1810573091206606e-06,5.087654244562145e-06
282,3.3658020583970938e-06,5.319100182532566e-06
283,3.270230536145391e-06,5.011718258174369e-06
284,3.2023119729274185e-06,5.374577995098662e-06
285,3.5237449083069805e-06,5.820220394525677e-06
286,3.728531282831682e-06,6.839200977992732e-06
287,4.255086878401926e-06,6.161696546769235e-06
288,5.853675247635692e-06,6.975931228225818e-06
289,4.565202289086301e-06,5.42154657523497e-06
290,3.528417437337339e-06,5.27614974998869e-06
291,3.3611740946071222e-06,5.099914687889395e-06
292,3.447814378887415e-06,5.318458079273114e-06
293,3.823807674052659e-06,4.7557527977915015e-06
294,3.747923301489209e-06,6.441279310820391e-06
295,5.551951744564576e-06,6.712663889629766e-06
296,4.57523583463626e-06,5.487777798407478e-06
297,3.8093839975772426e-06,5.556172254728153e-06
298,3.754338422368164e-06,4.906180947727989e-06
299,3.761093921639258e-06,5.935185072303284e-06
300,4.162599907431286e-06,5.1234287639090326e-06
301,3.953077339247102e-06,6.015502549416851e-06
302,3.982883754360955e-06,5.635162324324483e-06
303,4.206023731967434e-06,5.014686848880956e-06
304,4.650259143090807e-06,6.287630185397575e-06
305,4.071565399499377e-06,4.7938351599441376e-06
306,3.3521332625241484e-06,5.060096555098426e-06
307,3.215448259652476e-06,4.7152830120467115e-06
308,3.201967501809122e-06,4.799708221980836e-06
309,3.0688534025102854e-06,4.540925601759227e-06
310,2.951307124021696e-06,4.623329914466012e-06
311,2.9071022709104e-06,4.614803401636891e-06
312,2.904626626332174e-06,4.757641818287084e-06
313,3.074106189160375e-06,4.83993881061906e-06
314,3.2289540286001284e-06,4.5722849790763576e-06
315,2.938975285360357e-06,4.594917299982626e-06
316,2.9042892037978163e-06,4.580854238156462e-06
317,2.889735469580046e-06,4.4194584916112944e-06
318,2.9162436021579197e-06,5.198894996283343e-06
319,3.3378007628925843e-06,4.509208338276949e-06
320,3.136039595119655e-06,5.769941708422266e-06
321,3.873842615575995e-06,5.4756446843384765e-06
322,3.3959308893827256e-06,4.738844381790841e-06
323,3.320576524856733e-06,5.4462534535559826e-06
324,3.7865509057155577e-06,4.930159775540233e-06
325,3.3530582186358515e-06,4.6541740630345885e-06
326,2.9937552881165175e-06,4.57336363979266e-06
327,3.1327285796578508e-06,5.248780325928237e-06
328,3.3878409340104554e-06,4.400332272780361e-06
329,2.834462293321849e-06,4.669556801673025e-06
330,2.846375537046697e-06,4.354534212325234e-06
331,2.7691635295923334e-06,4.657130830310052e-06
332,2.795884483930422e-06,4.378787707537413e-06
333,2.647669816724374e-06,4.215290573483799e-06
334,2.6096586225321516e-06,4.282897862140089e-06
335,2.738017656156444e-06,4.351436928118346e-06
336,2.6491907192394137e-06,4.534178970061475e-06
337,2.7054229576606303e-06,4.217972673359327e-06
338,2.7128946840093704e-06,4.6465956984320655e-06
339,3.0641160719824256e-06,5.096380391478306e-06
340,3.0471976515400456e-06,4.095921212865505e-06
341,2.8631243367271964e-06,4.377031018520938e-06
342,2.677642896742327e-06,4.367178007669281e-06
343,2.662846554812859e-06,4.212698513583746e-06
344,2.5142039703496266e-06,4.017611900053453e-06
345,2.370900347159477e-06,4.096150860277703e-06
346,2.5821093458944233e-06,3.926869794668164e-06
347,2.5039912543434184e-06,4.265330062480643e-06
348,2.4884861886675935e-06,3.92703714169329e-06
349,2.4883249807317043e-06,3.984787326771766e-06
350,2.3756761038384866e-06,3.930986167688388e-06
351,2.3215366127260495e-06,3.874852154694963e-06
352,2.5578297027095687e-06,4.437466941453749e-06
353,2.9334569262573496e-06,4.119028290006099e-06
354,2.4536316232115496e-06,4.1712564780027606e-06
355,3.1889824185782345e-06,5.162290563021088e-06
356,3.0727346711501013e-06,4.56413499705377e-06
357,2.537206682973192e-06,5.137342213856755e-06
358,3.7212896586424904e-06,7.6184260251466185e-06
359,5.34470564161893e-06,4.007375991932349e-06
360,3.215116976207355e-06,6.021363333275076e-06
361,4.080838152731303e-06,4.391427864902653e-06
362,3.1964991649147123e-06,4.560441993817221e-06
363,3.0724372663826216e-06,6.330697033263277e-06
364,3.324097633594647e-06,4.289508069632575e-06
365,3.128446678601904e-06,4.304331469029421e-06
366,2.5258993900934e-06,4.290292963560205e-06
367,2.458260951243574e-06,3.7671684367523994e-06
368,2.125033006450394e-06,3.706345523823984e-06
369,2.0616946585505502e-06,3.978567292506341e-06
370,2.1143205231055617e-06,3.7423858429974644e-06
371,2.083837216559914e-06,3.2973505312838824e-06
372,1.9935662294301437e-06,3.44232535098854e-06
373,1.822809963414329e-06,3.6054407246410847e-06
374,1.9819447061308892e-06,3.448609959377791e-06
375,1.8436837763147196e-06,3.3171031645906623e-06
376,1.8955691984956502e-06,3.6310716495790984e-06
377,2.2094550331530627e-06,4.005577466159593e-06
378,1.989109932765132e-06,3.634079575931537e-06
379,2.0376185148052173e-06,3.2870752875169273e-06
380,1.8547807485447265e-06,3.338002670716378e-06
381,2.049831209660624e-06,4.420770892465953e-06
382,2.532098278607009e-06,3.286392256995896e-06
383,3.1978293009160552e-06,5.109852281748317e-06
384,4.0776080822979566e-06,3.820387973973993e-06
385,5.271672307571862e-06,6.953798674658174e-06
386,3.869873125950107e-06,4.9260547712037805e-06
387,3.2710624964238377e-06,4.6341951929207426e-06
388,2.914422566391295e-06,4.311636530474061e-06
389,4.9321552069159225e-06,3.3336496017000172e-06
390,4.8793049245432485e-06,7.983228897501249e-06
391,5.739737844123738e-06,6.906923772476148e-06
392,5.644181783281965e-06,7.628624189237598e-06
393,7.83929954195628e-06,8.994024028652348e-06
394,8.076435733528342e-06,7.147462838474894e-06
395,5.517533736565383e-06,7.346057827817276e-06
396,4.19644402427366e-06,6.317710358416662e-06
397,4.300558885006467e-06,5.850071374879917e-06
398,3.705639755935408e-06,5.794931894342881e-06
399,2.748735596469487e-06,3.992804067820543e-06
400,2.2399992758437293e-06,3.5162058793503093e-06
401,2.15601039599278e-06,3.330628942421754e-06
402,2.3320492346101673e-06,4.250929123372771e-06
403,3.0779647204326466e-06,4.057236310472945e-06
404,2.3874645194155164e-06,3.6780656955670565e-06
405,1.8574530713522108e-06,3.3945416362257674e-06
406,1.7940940324479016e-06,3.079778252867982e-06
407,1.6661654171912232e-06,3.0390635856747394e-06
408,1.5121045180421788e-06,2.8956576443306403e-06
409,1.415095880474837e-06,2.8602603379113134e-06
410,1.391631144542771e-06,2.762988515314646e-06
411,1.3560669458456687e-06,2.7449386834632605e-06
412,1.349545755147119e-06,2.7964792934653815e-06
413,1.3039546047366457e-06,2.7190301352675306e-06
414,1.3474098068400053e-06,3.031826508959057e-06
415,1.4194350796969957e-06,2.973443770315498e-06
416,1.4661518434877507e-06,2.929045876953751e-06
417,1.3927726740803337e-06,2.8181489142298233e-06
418,1.3971126691103564e-06,2.758920572887291e-06
419,1.336535547125095e-06,2.727517767198151e-06
420,1.391251316817943e-06,2.8516642487375066e-06
421,1.507893216512457e-06,2.746478912740713e-06
422,1.661913870520948e-06,2.79166920336138e-06
423,1.5297397339963936e-06,2.7792582386609865e-06
424,1.3722506082558539e-06,2.719102212722646e-06
425,1.401112058374565e-06,2.666774207682465e-06
426,1.3421592939266702e-06,2.6509549115871778e-06
427,1.2487871572375298e-06,2.558222377047059e-06
428,1.237777951246244e-06,2.5902859306370374e-06
429,1.2316138509049779e-06,2.6642981083568884e-06
430,1.2568034435389563e-06,2.5950987492251443e-06
431,1.2547327514766948e-06,2.5085496417887043e-06
432,1.2605815982169588e-06,2.572591256466694e-06
433,1.243299266207032e-06,2.6379900646134047e-06
434,1.212223423863179e-06,2.4815767574182246e-06
435,1.1955880836467259e-06,2.631912821016158e-06
436,1.203072883981804e-06,2.5214083052560454e-06
437,1.197961978505191e-06,2.5005060706462245e-06
438,1.1767461955969338e-06,2.543740492910729e-06
439,1.1771080608014017e-06,2.4626931462989887e-06
440,1.1776966175602865e-06,2.526542175473878e-06
441,1.1817702443295275e-06,2.4735149963817094e-06
442,1.1713902949850308e-06,2.514771040296182e-06
443,1.1816649703177973e-06,2.4747205316089094e-06
444,1.2019006589980563e-06,2.4846854103088845e-06
445,1.1794819556598668e-06,2.461192707414739e-06
446,1.1783757827288355e-06,2.4370101527892984e-06
447,1.2246999858689378e-06,2.6852917471842375e-06
448,1.2882604778496898e-06,2.4762189241300803e-06
449,1.2469834018702386e-06,2.5784909212234197e-06
450,1.277917704101128e-06,2.4345986275875475e-06
451,1.1821427960967412e-06,2.445584641463938e-06
452,1.1448913710410125e-06,2.4017806481424486e-06
453,1.1436826525823562e-06,2.4367654987145215e-06
454,1.1233787517994642e-06,2.412066351098474e-06
455,1.1279811360509484e-06,2.3796847017365508e-06
456,1.1566743296498316e-06,2.3456857434211997e-06
457,1.118830709856411e-06,2.362649411224993e-06
458,1.1038864613510668e-06,2.4120897705870448e-06
459,1.0814185316121439e-06,2.3770794541633222e-06
460,1.0742180620582076e-06,2.370717311350745e-06
461,1.0741940741354483e-06,2.342430434509879e-06
462,1.0999616506524035e-06,2.3592403977090726e-06
463,1.0729597761383047e-06,2.299643938385998e-06
464,1.071856218004541e-06,2.3281033918465255e-06
465,1.0990012242473313e-06,2.441681317577604e-06
466,1.1653741012196406e-06,2.3515456177847227e-06
467,1.2327543572610011e-06,2.646001576067647e-06
468,1.2213029094709782e-06,2.368894683968392e-06
469,1.1846191227959935e-06,2.428013203825685e-06
470,1.1440204161772272e-06,2.478167061781278e-06
471,1.1262840189374401e-06,2.395562432866427e-06
472,1.1019263865819084e-06,2.3685747692070436e-06
473,1.1863694453495555e-06,2.4478213163092732e-06
474,1.170045834442135e-06,2.3757672806823393e-06
475,1.1217018709430704e-06,2.364306965318974e-06
476,1.1854824606416514e-06,2.610853016449255e-06
477,1.372224801343691e-06,2.71810904450831e-06
478,1.4911881862644805e-06,2.4199860035878373e-06
479,1.8697703580983216e-06,4.109080236958107e-06
480,2.3526858967670705e-06,3.8058483369241003e-06
